Pts,FPI
16.0,-5.8
16.0,-5.8
21.0,-5.8
5.0,-4.2
20.0,-4.2
6.0,-4.2
12.0,-4.2
17.0,-4.2
3.0,-4.2
0.0,-4.2
23.0,-4.2
9.0,-4.2
13.0,-4.2
28.0,-7.6
10.0,-7.6
6.0,-7.6
33.0,-7.6
3.0,-7.6
13.0,-7.6
20.0,-7.6
16.0,-7.6
17.0,-7.6
19.0,-7.6
3.0,-7.6
3.0,-7.6
26.0,-2.1
7.0,-2.1
18.0,-2.1
14.0,-2.1
16.0,-2.1
13.0,-2.1
6.0,-2.1
9.0,-2.1
21.0,-2.1
7.0,-2.1
3.0,-2.1
10.0,-2.8
17.0,-2.8
19.0,-2.8
20.0,-2.8
0.0,-2.8
12.0,-2.8
17.0,-2.8
24.0,-8.3
7.0,-8.3
17.0,-8.3
7.0,-8.3
17.0,-8.3
12.0,-8.3
17.0,-8.3
21.0,-8.3
23.0,-8.3
0.0,2.8
22.0,2.8
8.0,2.8
17.0,2.8
14.0,2.8
13.0,2.8
16.0,2.8
27.0,-1.3
13.0,-1.3
35.0,-1.3
13.0,-1.3
22.0,-1.3
18.0,-1.3
15.0,-1.3
31.0,-1.3
13.0,-1.3
20.0,-1.3
0.0,-1.3
22.0,4.2
17.0,4.2
31.0,4.2
31.0,4.2
24.0,4.2
23.0,4.2
17.0,4.2
24.0,-3.0
16.0,-3.0
9.0,-3.0
9.0,-3.0
17.0,-3.0
27.0,-3.0
22.0,-3.0
16.0,-3.0
13.0,-3.0
14.0,-3.0
20.0,2.6
23.0,2.6
14.0,2.6
7.0,2.6
21.0,2.6
21.0,2.6
17.0,2.6
23.0,2.6
19.0,2.7
12.0,2.7
37.0,2.7
17.0,2.7
17.0,2.7
36.0,2.7
16.0,2.7
20.0,2.7
16.0,2.7
10.0,7.9
23.0,7.9
40.0,7.9
14.0,7.9
20.0,-1.3
14.0,-1.3
27.0,-1.3
34.0,-1.3
12.0,-1.3
28.0,-1.3
3.0,-1.3
29.0,-1.3
32.0,-1.3
10.0,-1.3
35.0,-1.3
17.0,2.6
24.0,2.6
23.0,2.6
16.0,2.6
23.0,2.6
21.0,2.6
9.0,2.6
27.0,-5.8
27.0,-5.8
10.0,-5.8
32.0,-5.8
9.0,-5.8
16.0,-5.8
30.0,-5.8
9.0,-5.8
23.0,-5.8
16.0,-5.8
18.0,-5.8
15.0,-5.8
14.0,-4.0
21.0,-4.0
18.0,-4.0
23.0,-4.0
21.0,-4.0
18.0,-4.0
24.0,-4.0
13.0,-4.0
42.0,-4.0
10.0,-12.9
14.0,-12.9
0.0,-12.9
9.0,-12.9
17.0,-12.9
6.0,-12.9
10.0,-12.9
14.0,-12.9
14.0,-12.9
17.0,-12.9
24.0,-12.9
3.0,-12.9
21.0,-12.9
30.0,5.5
37.0,5.5
28.0,5.5
14.0,5.5
17.0,5.5
21.0,5.5
21.0,-5.1
10.0,-5.1
14.0,-5.1
21.0,-5.1
