Pts,FPI
24.0,-3.8
27.0,-3.8
26.0,-3.8
17.0,-3.8
16.0,-3.8
20.0,-3.8
23.0,-3.8
26.0,-3.3
34.0,-3.3
27.0,-3.3
38.0,-3.3
27.0,-3.3
20.0,-3.5
16.0,-3.5
24.0,-3.5
23.0,-3.5
38.0,-3.5
27.0,-3.5
16.0,-3.5
17.0,-9.9
19.0,-9.9
29.0,-9.9
24.0,-6.5
34.0,-6.5
34.0,-6.5
34.0,-6.5
22.0,-6.5
16.0,-6.5
13.0,-6.5
26.0,-9.8
16.0,-9.8
37.0,-9.8
38.0,-9.8
27.0,-9.8
22.0,-8.0
33.0,-8.0
16.0,-2.9
39.0,-2.9
27.0,-4.2
25.0,-4.2
43.0,4.7
42.0,4.7
37.0,4.7
30.0,4.7
35.0,4.7
34.0,4.7
31.0,-0.5
43.0,-0.5
24.0,-0.5
28.0,-0.5
34.0,-0.5
38.0,6.7
33.0,6.7
31.0,6.7
27.0,6.7
30.0,6.7
24.0,6.7
40.0,-7.8
37.0,-7.8
26.0,4.6
26.0,4.6
28.0,4.6
38.0,4.6
38.0,4.6
27.0,4.6
28.0,4.6
24.0,4.6
40.0,-0.6
25.0,-0.6
34.0,-0.6
27.0,-8.8
34.0,5.5
35.0,5.5
30.0,5.5
27.0,5.5
26.0,5.5
38.0,5.5
31.0,1.9
28.0,1.9
34.0,1.9
24.0,2.5
30.0,2.5
30.0,2.5
38.0,2.5
37.0,2.5
38.0,4.7
35.0,4.7
38.0,4.7
31.0,4.7
27.0,4.7
37.0,4.7
34.0,-0.2
34.0,-0.2
40.0,-0.2
16.0,-0.2
31.0,-0.2
34.0,10.3
23.0,10.3
34.0,10.3
26.0,10.3
26.0,10.3
43.0,10.3
35.0,10.3
33.0,10.3
21.0,-0.1
36.0,-0.1
30.0,-0.1
27.0,-2.1
17.0,-2.1
30.0,-2.1
20.0,-2.1
23.0,-2.1
27.0,1.9
31.0,1.9
35.0,1.9
30.0,1.9
18.0,1.9
24.0,1.9
44.0,1.9
20.0,3.8
37.0,3.8
17.0,3.8
30.0,3.8
24.0,3.8
35.0,-1.5
34.0,-1.5
49.0,-1.5
32.0,-1.5
37.0,-1.5
31.0,3.7
36.0,3.7
24.0,3.7
33.0,3.7
28.0,0.5
36.0,0.5
19.0,0.5
31.0,0.5
41.0,0.5
23.0,-0.9
25.0,-0.9
22.0,-0.9
23.0,-0.9
21.0,-0.6
31.0,-0.6
23.0,-0.6
26.0,-4.7
34.0,-4.7
23.0,-4.7
37.0,-2.7
18.0,-2.7
31.0,-2.7
33.0,-3.6
31.0,-3.6
30.0,-2.4
27.0,-2.4
20.0,-5.4
23.0,-5.4
