,Pts,FPI
911,17.0,2.7
912,17.0,2.7
913,36.0,2.7
914,16.0,2.7
915,20.0,2.7
916,16.0,2.7
917,10.0,7.9
918,23.0,7.9
919,40.0,7.9
920,14.0,7.9
921,20.0,-1.3
922,14.0,-1.3
923,27.0,-1.3
924,34.0,-1.3
925,12.0,-1.3
926,28.0,-1.3
927,3.0,-1.3
928,29.0,-1.3
929,32.0,-1.3
930,10.0,-1.3
931,35.0,-1.3
932,17.0,2.6
933,24.0,2.6
934,23.0,2.6
935,16.0,2.6
936,23.0,2.6
937,21.0,2.6
938,9.0,2.6
939,27.0,-5.8
940,27.0,-5.8
941,10.0,-5.8
942,32.0,-5.8
943,9.0,-5.8
944,16.0,-5.8
945,30.0,-5.8
946,9.0,-5.8
947,23.0,-5.8
948,16.0,-5.8
949,18.0,-5.8
950,15.0,-5.8
951,14.0,-4.0
952,21.0,-4.0
953,18.0,-4.0
954,23.0,-4.0
955,21.0,-4.0
956,18.0,-4.0
957,24.0,-4.0
958,13.0,-4.0
959,42.0,-4.0
960,10.0,-12.9
961,14.0,-12.9
962,0.0,-12.9
963,9.0,-12.9
964,17.0,-12.9
965,6.0,-12.9
966,10.0,-12.9
967,14.0,-12.9
968,14.0,-12.9
969,17.0,-12.9
970,24.0,-12.9
971,3.0,-12.9
972,21.0,-12.9
973,30.0,5.5
974,37.0,5.5
975,28.0,5.5
976,14.0,5.5
977,17.0,5.5
978,21.0,5.5
979,21.0,-5.1
980,10.0,-5.1
981,14.0,-5.1
982,21.0,-5.1
983,13.0,-5.1
984,21.0,-5.1
985,21.0,-5.1
986,10.0,-5.1
987,20.0,-5.1
988,18.0,-5.1
989,28.0,8.5
990,51.0,8.5
991,31.0,8.5
992,40.0,8.5
993,31.0,8.5
994,9.0,-0.6
995,23.0,-0.6
996,23.0,-0.6
997,20.0,-0.6
998,14.0,-0.6
999,16.0,-0.6
1000,14.0,-0.6
1001,16.0,-0.6
1002,17.0,-0.6
1003,14.0,-0.6
1004,15.0,4.9
1005,31.0,4.9
1006,28.0,4.9
1007,23.0,4.9
1008,27.0,4.9
1009,16.0,4.2
1010,13.0,4.2
1011,24.0,4.2
1012,0.0,4.2
1013,23.0,4.2
1014,34.0,4.2
1015,34.0,4.2
1016,23.0,7.4
1017,3.0,7.4
1018,35.0,7.4
