RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
19,CLE,-0.076,24,-0.080,22,2-3,-0.033,19,0.141,27,0.098,2,5,2015,,,,,,,,,,,,,,,,
20,SD,-0.086,23,-0.048,20,2-3,0.041,10,0.068,22,-0.060,26,5,2015,,,,,,,,,,,,,,,,
21,MIN,-0.108,20,-0.042,19,2-2,-0.043,21,0.059,20,-0.006,20,5,2015,,,,,,,,,,,,,,,,
22,IND,-0.111,21,-0.066,21,3-2,-0.055,23,0.076,23,0.020,11,5,2015,,,,,,,,,,,,,,,,
23,KC,-0.137,27,-0.087,23,1-4,-0.005,12,0.160,29,0.027,9,5,2015,,,,,,,,,,,,,,,,
24,DAL,-0.138,19,-0.106,24,2-3,-0.060,24,0.062,21,-0.017,23,5,2015,,,,,,,,,,,,,,,,
25,JAC,-0.172,26,-0.170,26,1-4,-0.027,18,0.082,24,-0.063,27,5,2015,,,,,,,,,,,,,,,,
26,NO,-0.184,25,-0.129,25,1-4,0.043,9,0.218,32,-0.008,21,5,2015,,,,,,,,,,,,,,,,
27,TB,-0.234,29,-0.206,29,2-3,-0.218,31,0.011,16,-0.005,19,5,2015,,,,,,,,,,,,,,,,
28,DET,-0.269,22,-0.187,27,0-5,-0.148,28,0.120,25,-0.002,17,5,2015,,,,,,,,,,,,,,,,
29,MIA,-0.285,28,-0.189,28,1-3,-0.133,26,0.179,30,0.026,10,5,2015,,,,,,,,,,,,,,,,
30,CHI,-0.307,31,-0.243,30,2-3,-0.093,25,0.147,28,-0.067,28,5,2015,,,,,,,,,,,,,,,,
31,HOU,-0.367,30,-0.282,31,1-4,-0.141,27,0.122,26,-0.104,32,5,2015,,,,,,,,,,,,,,,,
32,SF,-0.408,32,-0.313,32,1-4,-0.154,29,0.210,31,-0.043,25,5,2015,,,,,,,,,,,,,,,,
1,ARI,0.453,2,0.354,2,4-2,0.236,3,-0.199,4,0.018,13,6,2015,,,,,,,,,,,,,,,,
2,NE,0.444,1,0.375,1,5-0,0.328,1,-0.037,8,0.079,3,6,2015,,,,,,,,,,,,,,,,
3,GB,0.393,3,0.336,3,6-0,0.213,4,-0.149,6,0.031,8,6,2015,,,,,,,,,,,,,,,,
4,CIN,0.335,4,0.283,4,6-0,0.323,2,0.023,16,0.034,7,6,2015,,,,,,,,,,,,,,,,
5,NYJ,0.269,6,0.196,5,4-1,0.054,10,-0.294,2,-0.079,31,6,2015,,,,,,,,,,,,,,,,
6,PIT,0.209,5,0.174,6,4-2,0.198,5,-0.004,14,0.007,16,6,2015,,,,,,,,,,,,,,,,
7,PHI,0.171,12,0.152,7,3-3,-0.051,20,-0.207,3,0.014,14,6,2015,,,,,,,,,,,,,,,,
8,BUF,0.134,7,0.097,9,3-3,0.124,6,-0.016,10,-0.006,20,6,2015,,,,,,,,,,,,,,,,
9,SEA,0.120,9,0.145,8,2-4,0.013,12,-0.011,12,0.097,1,6,2015,,,,,,,,,,,,,,,,
10,CAR,0.111,11,0.071,11,5-0,0.021,11,-0.159,5,-0.068,30,6,2015,,,,,,,,,,,,,,,,
11,DEN,0.063,10,0.077,10,6-0,-0.279,32,-0.312,1,0.030,9,6,2015,,,,,,,,,,,,,,,,
12,NYG,0.032,8,0.020,12,3-3,-0.009,14,-0.015,11,0.027,10,6,2015,,,,,,,,,,,,,,,,
13,BAL,-0.005,16,0.007,13,1-5,-0.016,16,0.052,18,0.063,4,6,2015,,,,,,,,,,,,,,,,
14,ATL,-0.016,13,-0.009,15,5-1,0.088,7,0.059,20,-0.045,27,6,2015,,,,,,,,,,,,,,,,
15,WAS,-0.028,15,-0.061,20,2-4,-0.041,18,-0.006,13,0.007,17,6,2015,,,,,,,,,,,,,,,,
16,OAK,-0.029,17,-0.047,18,2-3,-0.025,17,0.039,17,0.035,6,6,2015,,,,,,,,,,,,,,,,
17,STL,-0.037,18,-0.006,14,2-3,-0.200,30,-0.144,7,0.019,11,6,2015,,,,,,,,,,,,,,,,
18,KC,-0.043,23,-0.025,16,1-5,-0.006,13,0.073,24,0.036,5,6,2015,,,,,,,,,,,,,,,,
19,IND,-0.065,22,-0.041,17,3-3,-0.012,15,0.066,21,0.013,15,6,2015,,,,,,,,,,,,,,,,
20,CLE,-0.078,19,-0.083,21,2-4,-0.069,23,0.100,28,0.091,2,6,2015,,,,,,,,,,,,,,,,
21,SD,-0.083,20,-0.056,19,2-4,0.067,9,0.087,26,-0.063,29,6,2015,,,,,,,,,,,,,,,,
22,MIA,-0.105,29,-0.087,22,2-3,-0.044,19,0.080,25,0.019,12,6,2015,,,,,,,,,,,,,,,,
